Title,Review,StarRating,Date
Heck No!,,1.0 out of 5 stars,"Reviewed in the United States on May 27, 2022"
"Wife approves, good performance","My wife was using out hand pump backpack sprayer and did not like pumping the handle,  this one is heavier, I load it with less liquid.  She liked the convenience and performance.",5.0 out of 5 stars,"Reviewed in the United States on December 2, 2019"
tank leaks,"I have all the Milwaukee M18 products and thought this would be a good fit. The tank leaks very badly and you lose a large amount of solution along with it also dripping all over your backside. I would not recommend anyone to buy this product, it has a serious design flaw. Still trying to seal the leaks but not having much success. If I can't I will junk it and write it up as a total loss.",1.0 out of 5 stars,"Reviewed in the United States on September 26, 2021"
"Tank leaked at base, cracked or otherwise defective tank.",Liked everything about the tool but water started running out at the base almost as fast as I could fill it. Would not pump a drop though pump was operating?? Thought it was the drain cap but kept coming after I tightened it up. Really wanted it to work but decided to return it while I could and avoid being stuck with a problem child. Called Milwaukee and they recommended I take it to their authorized service center.,1.0 out of 5 stars,"Reviewed in the United States on April 15, 2022"
Tank is weak,"Owned for two years, used less than ten times , got it out to kill some clover , filled it and started spraying . Felt something dripping on back of my leg as I was walking .when I finished the spraying set it down for a half hour or so noticed a puddle coming from unit took reservoir off and saw it was leaking under pump assembly ,took that off and found a small 1/4” crack up inside base of tank . I paid 283 dollars for this thing thinking I was buying a great product . These tanks are junk !",5.0 out of 5 stars,"Reviewed in the United States on May 14, 2022"
was excited then let down,The holding tank wasn't made correctly and leaks. I didn't realize it until half the pesticides leaked out of it on my garage floor.,1.0 out of 5 stars,"Reviewed in the United States on June 20, 2021"
"Update, seller made it right, Tank was cracked when it arrived today, leaks instantly",The tank leaked immediately when I filled it with water I’m glad I didn’t put expensive chemicals in and have it leak all over my garage floor I can physically see where it’s cracked. I’m giving this item one star and will update if the seller is able to find an amicable solution to the problem,3.0 out of 5 stars,"Reviewed in the United States on April 21, 2022"
great idea but one major flaw in the program,"We do vineyard work, gardening and forestry so this looks like a great idea for versatility and efficiency, plus if you have more of the tools with batteries that helps too.We kept mixing common farm chemicals and fertilizers and the units just kept stopping to pump.The problem is that in the manual it nowhere shows anything about how to remove the screen on the pump intake, and anybody who does spraying knows this is one of the most important operational features.The screen is inside the tank and needs to be twisted to unseat it for cleaning which may be very often because it is too tight for the pump intake and plugs easily.When you call to find out what the problem is you get argued with that you are using the wrong materials.So please rewrite the manual with this very essential information.",3.0 out of 5 stars,"Reviewed in the United States on May 9, 2020"
Finally got a chance to use it and it didn’t work,"I thought maybe the tight seal wouldn’t allow the pump to prime. Not the case. Thought that there was a seal on the new packaging blocking something.  It the case. It just wouldn’t work!  To top it off my return window closed a month after I got it when I finally got the chance to use it.  UPDATE. Got it working. Something was lodged behind the filter at the base of the tank, like a piece of stray plastic. Go to use it and it’s like the thing has prostate problems. Your money is better spent on two back pack pump sprayers. I like Milwaukee my company spend 100s of thousands on their tools each year but this is not a good product.",1.0 out of 5 stars,"Reviewed in the United States on March 21, 2022"
DON'T BUY THIS,"First: Came with no battery. I had to buy the battery separately. Second: Leaked BADLY. You would not want to use this with chemicals, as you rear end is soaked in 1 minute. Third: Did NOT SPRAY. I can hear the pump but it generated no spray. Fourth: Look for other reviews online: MANY MANY negative reviews about the leaking, and more. I wish I had before I purchased",1.0 out of 5 stars,"Reviewed in the United States on April 23, 2022"
Tank leaks,DO NOT BUY The tank had three small cracks in the bottom and leaks everywhere right out of the box. Zero response from seller. I have a silly amount of Milwaukee tools and this is Absolutely a ridiculous waste of money. Wish I had gotten the ryobi. My neighbor has is and he loves it. Half the price and much better.,1.0 out of 5 stars,"Reviewed in the United States on April 15, 2022"
Came with defective leaky tank. Not the first time,Sounds like Milwaukee will now sell their name to anyone. This sprayer is junk. Cheap imported plastic tank leaked. Returned.,1.0 out of 5 stars,"Reviewed in the United States on September 7, 2021"
Milwaukee otherwise very good,purchased two time both leaked write out of the box,1.0 out of 5 stars,"Reviewed in the United States on April 28, 2022"
Leaks like crazy,"*********Everything everyone else said. It leaked bad, can’t get out the last gallon. But worst for me is that you can’t really spot spray with it. All my other brand battery powered sprayers you can just squeeze the handle/leaver to spray and it will instantly spray, this one has to spin a motor on the base a few times to get enough pressure built up for it to spray some product, so by the time this one has spun the base and built up pressure to spray your holding down the sprayer handle like 3 or 4 times longer just to spray a weed, then when it does spray it SPRAYS, so you way over spray if your just trying to spot spray weeds. But if your only using for a constant spray and not needing to spot spray weeds (specially need to be careful with a “round up” spray so it dosnt over spray into the grass or your shoes/boots.",2.0 out of 5 stars,"Reviewed in the United States on May 21, 2022"
It leak started leaking the first time I used it,Really wish I could get a different one because I can use it on grass safe chemicals cause it leaks from the bottom,1.0 out of 5 stars,"Reviewed in the United States on September 10, 2021"
Complete disappointment,"The first sprayer assembly arrived and the pump did not work and the tank leaked. The company promptly sent out a new sprayer which was nice, unfortunately the second assembly had a leaking tank again. Both sprayers were sent back nearly a month ago and I’m still waiting on a refund. This purchase is borderline seeming like a scam from the seller. Very disappointed.",1.0 out of 5 stars,"Reviewed in the United States on April 30, 2022"
The item leaked when it arrived,The item leaked and when I read the review it is a common issue. This is not Milwaukee quality,1.0 out of 5 stars,"Reviewed in the United States on April 6, 2022"
It leaks,This product is a joke or I got a bad one.  We use many Milwaukee products.. love them all except this one.  It leaks and does not work.  Good thing we only tried it with water or we would have had chemicals all down the back of our legs,1.0 out of 5 stars,"Reviewed in the United States on May 11, 2022"
I love Milwaukee tools but this thing is a pos.,"Don't waste you time and money. Leaks right out of the box. This was my 2nd one, both leaked right out of the box.",1.0 out of 5 stars,"Reviewed in the United States on April 26, 2022"
showed missing parts,missing parts,1.0 out of 5 stars,"Reviewed in the United States on April 14, 2022"
LEAKS,Seller has shipped me two of these and they leaked immediately upon filling in the exact same way/ place.,1.0 out of 5 stars,"Reviewed in the United States on February 22, 2022"
Won’t work,Received a bad unit. Can’t get it to spray straight out of the box. Switched out batteries and nothing is working,1.0 out of 5 stars,"Reviewed in the United States on May 1, 2022"
So far so good no leaks,The price on this at 175 was just about as good as I’ve seen with prime in the ability to return if it had leaked was a plus. I own a lot of Milwaukee tools I’ve seen the reviews about this leaking mine hasn’t leaked yet only time will tell I will update this review if it does. sprayer seems to Work as it should and is consistent with Milwaukee quality overall,5.0 out of 5 stars,"Reviewed in the United States on April 22, 2022"
Believe the leak reviews...,"I purchased this and it leaked horribly as soon as we put water in it. After investigation there was a hole in the bottom of the switch tank under the pump motor. There was a black x written in sharpie on the tank right out of the box. Not sure if it was a previous return or what.. Returning was no problem, but I had to pay for a box to ship it back... out 10 bucks and don't have my sprayer.",1.0 out of 5 stars,"Reviewed in the United States on May 26, 2022"
Leaking tank,"As others have noted, the tank leaked right out of the box.",1.0 out of 5 stars,"Reviewed in the United States on April 22, 2022"
total disappointment,hose seems to kink and slow or stop flow.  tank leaked straight out the box on first use.  and know i don’t even see a way to contact seller for return.  my opinion.  to much trouble to save a few bucks,2.0 out of 5 stars,"Reviewed in the United States on April 6, 2022"
First time using and it leaked This is my second brand new one,,1.0 out of 5 stars,"Reviewed in the United States on June 1, 2022"
"So far, so good.","I was hesitant because of some of the reviews but took a chance anyways. 1st spraying was very good, and went further in height than I expected. If anything changes I will update this review.",5.0 out of 5 stars,"Reviewed in the United States on April 4, 2022"
straight out of the box the tank leaks,nothing against the seller they have been good to work with .the tank leaks i tested with water before using and leaks from bottom of tank and runs down sides would be a problem with chemicals running down your back . the seller immidiatly sent return info without question would expect better quality from milwaukee m18 tool family,1.0 out of 5 stars,"Reviewed in the United States on May 18, 2022"
Like many others....,,2.0 out of 5 stars,"Reviewed in the United States on May 9, 2022"
NOT WORTH THE MONEY,"AFTER A YEAR, STOP WORKING.",1.0 out of 5 stars,"Reviewed in the United States on October 13, 2021"
Product leaking from bottom of Tank,The unit work great the first time I used it.  The second time I went to use it as I filled the tank the product started leaking out of the bottom.  I tried contacting Milwaukee about a warranty tank and I got no reply.,1.0 out of 5 stars,"Reviewed in the United States on September 17, 2021"
I was warned.,"I know, I was warned about the leaking problem, just had to see it for myself.",1.0 out of 5 stars,"Reviewed in the United States on April 1, 2022"
Tank leak,First one leaked and then the second one leaked. I’m done!,1.0 out of 5 stars,"Reviewed in the United States on April 13, 2022"
Love sprayer except there are two different cracks on bottom.,Works great but leaks from the bottom of the tank in two different spots.  Hairline crack and fitting broke,2.0 out of 5 stars,"Reviewed in the United States on April 18, 2022"
"First use, leaking all over","Simple setup, easy to use. But if the thing can’t do it’s job right it’s worthless. No sense in spending extra $$ if it’s gonna leak all over the place. Waste of money and time. Really disappointing",2.0 out of 5 stars,"Reviewed in the United States on June 1, 2022"
"Leaked 1st time, small pin hole in tank",Heavy but expected,1.0 out of 5 stars,"Reviewed in the United States on April 17, 2022"
Leaking out of box,,1.0 out of 5 stars,"Reviewed in the United States on May 16, 2022"
Read return policy first!! Cannot return even if all you do is test it out,Nice machine but make sure you read the return policy because it can't be used at all to return.,3.0 out of 5 stars,"Reviewed in the United States on May 26, 2021"
The tank leaks,The sprayer works well. This is my 2nd Milwaukee sprayer that I've purchased and both the tanks leak. Not sure about quality but seems like a the tanks are not reliable.,3.0 out of 5 stars,"Reviewed in the United States on September 28, 2021"
Leaks,The first time my husband used it it leak.  I contacted the seller but never received a reply.,1.0 out of 5 stars,"Reviewed in the United States on September 12, 2021"
Junk,Leaks and won’t pump never used,1.0 out of 5 stars,"Reviewed in the United States on March 16, 2022"
Love this Sprayer,"I love this unit as of now, didn't read reviews until now. I sprayed 8 gallons and it didn't use much of the battery. Guess more to come!!",5.0 out of 5 stars,"Reviewed in the United States on June 6, 2021"
broken in the box,product was broken when I got it. tank was cracked. couldn't use.,1.0 out of 5 stars,"Reviewed in the United States on February 15, 2022"
Leaks!,Leaked right out of the box. Leaks from where the pump sits in the tank. Manufacturing defect clearly. I fixed it myself and it works great now but it’s sad that a company like Milwaukee lacks quality control.,1.0 out of 5 stars,"Reviewed in the United States on May 15, 2022"
Tank leaked. Wouldn’t spray,"Took it out of the box, put 1 gallon of water in it to try. Inserted battery. Motor turned on but no spray came out of the wand. Noticed the tank was leaking somewhere near where the hose connection. Returned it. I’m not willing to try another unit after reading the other reviews.",1.0 out of 5 stars,"Reviewed in the United States on May 15, 2022"
Great product,Great product but the unit is heavy due to the materials it’s constructive from. It also has a large capacity 5 gallons. As long as you can carry the weight it’s a great tool,5.0 out of 5 stars,"Reviewed in the United States on May 26, 2022"
"Expensive, but worth it","Very nice sprayer, some reviews say it stops spraying with a quart in it still, I measured it at 3 ounces. 23 gallons sprayed on one 5 amp/ hour battery.",5.0 out of 5 stars,"Reviewed in the United States on July 18, 2021"
No warranty if you purchase Milwaukee through a non Milwaukee certified dealer.,I liked the quality of the sprayer.,4.0 out of 5 stars,"Reviewed in the United States on March 11, 2022"
Amazing Tool,"This thing is amazing.  I have a large area of weed control annually.  I have used several sprayers - nothing as efficient and easy to use as this Milwaukee.  No Issues, no problems, no leaks - it is amazing.",5.0 out of 5 stars,"Reviewed in the United States on February 20, 2022"
DO NOT BUY FROM THIS SELLER,I ordered 2 of these for my company and had to return them BOTH.  They come with no batteries and leak water. This seller is selling JUNK. I DO NOT recommend buying anything from this company.  I now have to return another one,1.0 out of 5 stars,"Reviewed in the United States on May 11, 2022"
Tank leaked faster than I could fill,The tank was pouring water out of the bottom all over the battery housing unit faster than I could fill it. I requested a replacement and waited 3 days only to find out the replacement did the same thing.,1.0 out of 5 stars,"Reviewed in the United States on May 16, 2022"
Absolutely the best,It was a present for my son for Christmas.  He couldn’t stop telling his dad how much he loved it . Plus it saves a lot of time .,5.0 out of 5 stars,"Reviewed in the United States on January 24, 2022"
not the best product that milwaukee ever made,"when i got the sprayer it would not pump, but being a mechanic i took it apart the pump diaphragm  was stuck put back together works good now but tank leaks",3.0 out of 5 stars,"Reviewed in the United States on May 31, 2022"
Leaks from bottom,Junk. They know their product leaks and they still sell it anyway. Milwaukee you are ridiculous,1.0 out of 5 stars,"Reviewed in the United States on May 21, 2022"
very happy,sprayed boat dock 15 gallons on one battery. wow...,5.0 out of 5 stars,"Reviewed in the United States on May 25, 2022"
Works,It works,5.0 out of 5 stars,"Reviewed in the United States on February 17, 2022"
DOES. NOT. SPRAY.,"I love my many Milwaukee tools.I don't have time to research tools and products anymore so I rely on name brands to get the job done.Well you can imagine how disappointed I was when I picked this product up, drove to the jobsite just to experience the sprayer not spraying. Yes that's right, it would not spray AT ALL. I played with it for an hour or so trying to get it to spray, tried everything, EVENTUALLY it worked. I used about 9 gallons of product. I then brought my other chemical in a seperate tank and lo and behold, that one didn't work at all. Was never able to get the other tank to work. Piece of junk.",1.0 out of 5 stars,"Reviewed in the United States on June 25, 2020"
Tank leaks,I put water in the tank and it instantly started leaking out the bottom.Edit 6/20/21. Took my leaking tank to Milwaukee authorized repair center. They said it would be at least 8 weeks to get parts and wouldn't guarantee it would not leak after that.Sent it back for a refund.,1.0 out of 5 stars,"Reviewed in the United States on June 14, 2021"
Keeps breaking,"Very unreliable!Pros: powerful sprayer(when it works),good battery lifeCons:very heavy and cumbersome,EXTREMELY UNRELIABLE !!!I used this sprayer for less than an hour and it stopped working. I took it to the factory service center in Whitestone NY. The tech tried to tell me if I did not buy it from an authorized retailer they would not honor warranty even if I had a valid sales receipt.I got the upset and threatened to Sue so they took it in for service. They kept it for 4 months waiting for parts. They gave it back to me, I used it for 20 minutes and it stopped again!!I did not want to deal with Milwaukee again so I opened it up to check it this time and I found the circuit board burned.I end up bypassing the board completely and hooked it up to run at max power only.I hope that works if it fails I’m just going to dump it and wipe out the words Milwaukee power tools out of my dictionary.",1.0 out of 5 stars,"Reviewed in the United States on May 23, 2021"
May leak chemicals on your back - right out of the box.,"It all over the internet - many of the tanks leak when new - Milwaukee has to know about this but there is nothing that says they are doing anything about this.  I guess when someone gets seriously ill from a reaction to the chemical s that leak on them and sue them, maybe they will recall the products and start over.  I managed to spray a tank full out before quitting and it was great, but I will not continue to leak poison down my back.  Worst Milwuakee tool I have ever seen!  I purchased mine locally so you cannot verify my purchase.",1.0 out of 5 stars,"Reviewed in the United States on May 30, 2021"
Tank Leaks,I bought this product brand new and right out of the box the tank leaks out of the bottom. It also only sprays out the first gallon after that it shuts off completely and does not spray. I would NOT recommend this product.,1.0 out of 5 stars,"Reviewed in the United States on August 16, 2021"
Will only work one time!,This product worked amazing the first time. However every other time I have used it not so much. Usually I end up spending 30 min or so taking the backpack sprayer apart to try and find a clog somewhere due to the pressure not coming out like it is supposed too. It is unfortunate that I have spent $200 on this product then another chunk of change on the M18 battery’s to go with it but yet I cannot get through a whole tank of weed killer before the pressure decides to go away on me! Hope this helps someone steer clear of this product and go with a different brand!,1.0 out of 5 stars,"Reviewed in the United States on May 17, 2022"
Dependability,I own a landscape company And use all Milwaukee tools.I mean all of them and am very happy with them.I bought sprayer new used 1 time and would not power on.It is Junk!!!,1.0 out of 5 stars,"Reviewed in the United States on September 18, 2020"
Leaked from day one,"Good product with plenty of power. However, since I took it out of the box, it has leaked from the spot where the tank inserts into the unit.",1.0 out of 5 stars,"Reviewed in the United States on December 31, 2021"
Worth it,Very good if you have a big garden and need to spray for pest! You don’t need to continually pump!,5.0 out of 5 stars,"Reviewed in the United States on November 13, 2021"
